price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label,reg_target
103.54,105.94749376201378,108.9928973439444,35.73020698181574,112.26879757595408,100.2682024240459,-1.9786546437980377,-1.8551380451655066,33.16245304183122,506803.21,769794.228,-0.018712439778052117,107.16712,103.54,112.2688,100.2682,0,2024-02-22 20:00:00,0,-0.01444575471698112
101.76,105.55535149896484,108.71199940888778,35.981869463006944,111.46285298056016,100.06314701943982,-2.0645459797573977,-1.897019632083885,33.67763711678491,691708.95,760043.2745,0.007445108341124298,107.16712,101.76,111.4629,99.7248,0,2024-02-23 00:00:00,0,-0.004320927035254814
101.83,105.21484183239676,108.44799943206866,36.555174401895734,110.55682421693075,100.01417578306925,-2.0963463600132286,-1.9368849776697536,33.99198091863278,500181.43,760820.845,0.01315855370726635,107.16712,101.83,110.5568,99.7934,1,2024-02-23 04:00:00,0,-0.02039615610904097
101.98,104.97247594359706,108.22141121904636,39.25024259443005,109.96222034596855,99.92777965403147,-2.0423284657975387,-1.9579736752953107,34.347322880453234,381171.0,754179.2764999999,0.05838766937253932,107.16712,101.98,109.9622,99.9278,1,2024-02-23 08:00:00,0,-0.023765462160319446
102.67,104.52652585373067,107.91037548496612,33.90093281535334,109.45514987692918,99.52185012307082,-2.166589905192126,-1.9996969212746738,35.011164748270694,430739.21,769742.5364999999,0.0030472340775655666,107.13622000000001,102.67,109.4551,99.5219,1,2024-02-23 12:00:00,1,0.019443613520789594
100.29,104.22780910575632,107.65467448555569,38.0999424179524,108.36548749565026,99.70851250434973,-2.1515059627782875,-2.030058729575397,36.07337307315118,968968.75,775018.4225,0.012663999307021613,106.1845,100.29,108.3655,98.2842,1,2024-02-23 16:00:00,0,0.007298550152874986
101.39,103.81563680997002,107.3505696037692,34.86872711100706,108.2146233781742,99.18737662182579,-2.2340298715676994,-2.0708529579738575,37.010197026185395,853409.86,694728.775,0.015293784577219456,106.1845,101.39,108.2146,99.1874,1,2024-02-23 20:00:00,1,0.02052052052052049
99.9,103.47414758997287,107.071331580092,36.1600838724438,107.77819313658608,98.91380686341392,-2.24690153946176,-2.1060626742714383,37.9910868047488,412383.74,665492.646,-0.03084053517740402,106.08562,99.9,107.7782,97.902,1,2024-02-24 00:00:00,1,0.03811234161428707
100.23,103.35660972426118,106.88186759655898,43.507195091654715,106.86248363870851,99.22251636129147,-2.0710385836584067,-2.099057856148832,37.63412680327226,513081.4,654051.8745,-0.006938498325752875,106.08562,100.23,106.8625,98.2254,0,2024-02-24 04:00:00,1,0.017312206572770054
102.24,103.23978975052202,106.6955198476743,43.214084887333556,106.27904228632279,99.3559577136772,-1.918427566049985,-2.0629317981290627,36.93426098943436,362771.76,653370.693,0.019005804011557503,106.08562,102.24,107.352,99.356,0,2024-02-24 08:00:00,1,0.012239302849309705
102.13,103.11695263142468,106.50942103011846,42.70705451468703,106.02249626865476,99.32250373134521,-1.7913570814160238,-2.008616854786455,36.28438559087059,465600.41,640530.2609999999,0.036111195308417825,106.08562,102.13,107.2365,99.3225,1,2024-02-24 12:00:00,1,0.010593428151054421
101.95,103.2058142855747,106.4129731465844,50.06778564355071,106.14201156895359,99.33498843104641,-1.5038647406752688,-1.9076664319642178,34.524392079773065,250157.31,611907.4184999999,0.12900641067988955,106.08562,101.95,107.0475,99.335,1,2024-02-24 16:00:00,0,-0.01201345506967804
104.05,103.28240340123425,106.31873890554188,49.936184235047065,106.16000878733504,99.33199121266497,-1.2646742772382282,-1.7790680010190199,32.44178856222345,428486.5,572158.1390000001,0.058513319774212154,106.08562,104.05,109.2525,99.332,1,2024-02-24 20:00:00,0,-0.011825785982117141
104.01,103.29169831540241,106.20349424257945,47.804907346243326,106.22154866475469,99.40445133524534,-1.1131185092777116,-1.6458781026707583,31.294119818213794,314018.64,550888.2545,0.07447661486786376,106.08562,104.01,109.2105,99.4045,1,2024-02-25 00:00:00,0,-0.00019346101760491413
